BEPH01	BEPH02	BEPH03	BEPH04	BEPH05	BEPH06	BEPH07	BEPH08	BEPH09	BEPH10	BEPH11	BEPH12	BEPH13	BEPH14	BEPH15	BEPH16	BEPH17	BEPH18	BEPH19	BEPH20																																								
RT	Area	RA																																																									
22.396	5337	0.024155115	21.566	165839	0.391701555	20.165	1690033.7	3.283549109	22.339	8085.4	0.03403474	21.565	238842.9	0.673163222	19.687	33031.6	0.163390235	20.718	16011.9	0.105688215	20.968	22762.3	0.029182493	19.913	31278.2	0.113851693	21.559	28683.8	0.410308549	20.133	216119.6	1.860427544	20.751	2168.7	0.010341624	19.674	3138.7	0.007479593	19.913	14896.4	0.044305225	19.908	13116.8	0.083392739	19.335	73103.1	0.379214992	19.335	25042	0.11886191	19.267	28029	0.05085634	19.927	47567.5	0.046995117	20.159	1976926.3	7.917884147
22.521	19361.6	0.087630068	21.619	30128.6	0.071161907	20.754	1394.6	0.002709554	22.396	3862.8	0.016260098	21.618	36255.5	0.102183775	19.916	5509.2	0.027251162	20.957	15742.7	0.103911332	21.039	3780.9	0.004847317	20.149	899042.5	3.27248724	21.615	1603.5	0.022937329	20.719	3471.3	0.029882075	20.957	17209.9	0.082066824	19.915	30111.8	0.071757102	20.138	363512.1	1.08116629	20.145	830377.2	5.279292912	19.91	16718	0.086722947	19.693	4512.1	0.021416693	19.342	35175.7	0.063823446	20.179	2500181.1	2.470096264	20.69	1022.5	0.004095265
23.094	155201.6	0.702438167	21.77	662311.4	1.564338939	20.962	31847.2	0.061875598	22.52	17524.9	0.073769437	21.77	721434.5	2.033316344	20.155	28221.3	0.13959617	21.028	1359.2	0.008971541	21.57	84788.6	0.108703547	20.698	1059.7	0.003857276	21.754	72356.7	1.035029271	20.957	5216.9	0.044908766	21.028	3353.9	0.015993348	20.157	1295288.1	3.086700887	20.958	7497.1	0.022298052	20.694	1619.1	0.010293759	20.154	1288574.3	6.68434982	19.909	23699.7	0.11249068	19.646	19179.3	0.034799279	20.76	1385.9	0.001369223	20.746	5884.6	0.023568699
23.155	117391.2	0.531309338	22.34	7653.4	0.018076862	21.568	191812.2	0.372669952	23.094	207667.2	0.874155773	22.338	11901.9	0.033544733	20.693	1035396.5	5.121570792	21.563	110979.9	0.732534395	21.625	9768.1	0.01252323	20.754	2204.8	0.008025405	22.339	1083.8	0.01550326	21.028	1473.9	0.012687809	21.564	182047.1	0.86810657	20.755	1399.4	0.003334802	21.029	6148.6	0.018287312	20.749	1026.8	0.006528091	20.957	23305.7	0.120895979	20.148	1017510.1	4.829614001	19.913	32418.4	0.058820549	20.964	45987.8	0.045434426	20.952	38308.4	0.153430845
23.269	370032.9	1.674758713	22.396	4773.2	0.011274006	21.622	33435.2	0.064960907	23.15	120308.9	0.506429131	22.395	6281.9	0.017705128	20.756	1720.3	0.008509434	21.618	15328	0.101174061	21.776	661837.7	0.848511541	20.958	16900.3	0.061516576	22.52	5556.1	0.079477452	21.561	66533.9	0.57274537	21.617	23450	0.111823254	20.959	22250.1	0.053022492	21.561	37196.8	0.110631603	20.956	15836.7	0.10068506	21.028	4613.3	0.023931031	20.956	17295.9	0.082095029	20.166	2220738.3	4.029348969	21.034	2661.5	0.002629474	21.023	2086.6	0.008357144
23.813	7924.5	0.035866069	22.521	26135.7	0.061730922	21.773	681872.1	1.324802296	23.264	227373	0.957105507	22.52	27761	0.078242578	20.963	2218.6	0.010974266	21.763	347198.3	2.291718561	22.344	4778.8	0.006126679	21.029	2613.9	0.009514516	22.594	1716.6	0.024555172	21.616	4217.2	0.036303024	21.763	418087.9	1.99368654	21.03	3282	0.00782108	21.617	5409.6	0.01608936	21.026	2073.8	0.013184608	21.563	132109.5	0.685304769	21.027	1293.5	0.006139601	20.751	1650.7	0.002995061	21.568	178763.6	0.176612526	21.565	449496.3	1.8002996
23.884	12349.3	0.055892592	23.094	167316.6	0.395191556	22.341	9909	0.019252094	23.342	1308.2	0.005506746	23.096	287840.8	0.811260625	21.034	19728	0.097584209	22.34	5851.4	0.038622775	22.401	1773.3	0.002273466	21.564	164825.4	0.599959422	23.09	51440.7	0.735835523	21.758	182802.6	1.573624013	22.338	9493.7	0.045271489	21.564	141836	0.337998401	21.759	221762.7	0.65957187	21.561	74408.8	0.473069167	21.617	22411.1	0.116255331	21.563	141874.4	0.673407162	20.956	42728.9	0.077528113	21.623	43868.9	0.043341023	21.615	58697.2	0.235091025
23.971	8275.5	0.037454685	23.153	141726	0.334748127	22.398	5501.5	0.010688808	23.812	8459.9	0.035611163	23.151	169021.1	0.476375007	21.569	2227.3	0.011017301	22.396	2626.3	0.017335167	22.525	34315	0.043993676	21.619	23371.8	0.085072638	23.145	10221.6	0.146215281	22.338	3439.2	0.029605748	22.395	3554.5	0.016949926	21.619	24992.6	0.059557932	22.338	1712.1	0.005092168	21.616	13461.3	0.085582968	21.766	539981	2.801097228	21.617	25962.1	0.123229167	21.027	2029.2	0.003681818	21.775	851870	0.841619395	21.766	745836.1	2.987184617
24.516	214590.1	0.971228882	23.269	381558	0.901216613	22.523	27924.2	0.054253641	23.884	4742.8	0.019964376	23.266	340514.3	0.959717468	21.624	146599.5	0.725151879	22.521	18006.6	0.11885444	22.598	8376.6	0.010739252	21.764	413961.2	1.506806124	23.261	86405.2	1.235986594	22.396	1436.4	0.012364997	22.52	18691.2	0.089130525	21.767	510846.5	1.217358783	22.52	11619	0.034557505	21.762	385742.8	2.452438759	22.339	7835.4	0.040645351	21.762	371535.1	1.763492196	21.562	194282.8	0.352510334	22.339	7821.4	0.007727285	22.333	21772.9	0.087203706
24.567	61272.2	0.27731629	23.344	2282.8	0.005391834	23.097	209226.9	0.406504794	23.971	3140.2	0.01321838	23.341	1508.3	0.004251046	21.771	20850.3	0.103135647	22.594	1766.4	0.011659307	22.917	1084.3	0.001390131	22.339	8486.7	0.030891329	23.812	2152.8	0.030794813	22.52	10388.8	0.089430157	22.593	5021.7	0.02394639	22.339	7312.6	0.017426091	22.593	8475	0.025206546	22.337	3857.3	0.024523574	22.396	3941.5	0.020446136	22.338	7664.3	0.036378617	21.617	40233.4	0.073000231	22.396	5765.8	0.00569642	22.39	8470.6	0.033926014
